title,link,source,published_str,pub_date,doi,abstract,abstract_source,must_have_abstract,published,similarity
Host–microbiome mutualism drives urea carbon salvage and acetogenesis during hibernation,https://www.pnas.org/doi/abs/10.1073/pnas.2518978123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-02 08:00:00 UTC,2026-01-02 08:00:00+00:00,10.1073/pnas.2518978123,"Hibernation is a seasonal survival strategy employed by certain mammals that, through torpor use, reduces overall energy expenditure and permits long-term fasting. Although fasting solves the challenge of winter food scarcity, it also removes dietary carbon, a critical biomolecular building block. Here, we demonstrate a process of urea carbon salvage (UCS) in hibernating 13-lined ground squirrels, whereby urea carbon is reclaimed through gut microbial ureolysis and used in reductive acetogenesis to produce acetate, a short-chain fatty acid (SCFA) of major value to the host and its gut microbiota. We find that urea carbon incorporation into acetate is more efficient during hibernation than the summer active season and that while both host and gut microbes oxidize acetate for energy supply throughout the year, the host’s ability to absorb and oxidize acetate is highest during hibernation. Metagenomic analysis of the gut microbiome indicates that genes involved in the degradation of gut mucins, an abundant endogenous nutrient, are retained during hibernation. The hydrogen disposal associated with reductive acetogenesis from urea carbon helps facilitate this mucin degradation by providing a luminal environment that sustains fermentation, thereby generating SCFAs and other metabolites usable by both the host and its gut microbes. Our findings introduce UCS as a mechanism that enables hibernating squirrels and their gut microbes to exploit two key endogenous nutrient sources—urea and mucins—in the resource-limited hibernation season.",crossref,False,,
"Gene duplication, horizontal gene transfer, and trait trade-offs drive evolution of postfire resource acquisition in pyrophilous fungi",https://www.pnas.org/doi/abs/10.1073/pnas.2519152123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-02 08:00:00 UTC,2026-01-02 08:00:00+00:00,10.1073/pnas.2519152123,"Wildfires significantly alter soil carbon (C) and nitrogen (N), reducing microbial richness and biomass, while selecting for “fire-loving” pyrophilous microbes that drive postfire nutrient cycling. However, the genomic strategies and functional trade-offs (balancing gains in one trait with costs in another) underlying the traits that enable pyrophilous microbes to survive and thrive postfire are virtually unknown. We hypothesized that pyrophilous fungi employ specialized genomic adaptations for C and N cycling, with evolutionary trade-offs between traits governing aromatic C degradation, N acquisition pathways, and rapid growth. To test these hypotheses, we performed complementary comparative genomics, transcriptomics after pyrogenic organic matter amendment, and growth rate bioassays for 18 pyrophilous fungi from five Ascomycota (Eurotiales, Pleosporales, Sordariales, Coniochaetales, and Pezizales) and three Basidiomycota (Agaricales, Holtermanniales, and Geminibasidiales) orders isolated from burned soils. We found a dramatic trait trade-off between fast growth and number of genes responsible for aromatic C degradation, implying burned environments select for metabolically costly genes despite their evolutionary cost. We used the comparative genomics framework to evaluate genomic signatures of evolution and found that either gene duplication and somatic mutation, or recombination via sexual reproduction, were the primary drivers of fungal genomic variation in aromatic C degradation and N acquisition genes. Finally, we identified cross-kingdom bacterial to fungal horizontal gene transfer (HGT) as a secondary strategy producing novel aromatic C degradation genes. Overall, we found that trait trade-offs and genome evolutionary strategies are key drivers that may predict the persistence and contribution of pyrophilous fungi to global C and N cycling.",crossref,False,,
Dietary folic acid prevents peripheral neuropathy in mouse models of neural tube defects and type 2 diabetes,https://www.pnas.org/doi/abs/10.1073/pnas.2528095123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-02 08:00:00 UTC,2026-01-02 08:00:00+00:00,10.1073/pnas.2528095123,"Folate-mediated one-carbon metabolism is implicated in several pathologies including neural tube defects (NTDs), cancer, and neurodegenerative disorders, whereas diabetes is associated with NTDs and peripheral neuropathy (PN). The development of peripheral neuropathy was assessed in
                    
                      Shmt1
                      +/−
                      and Shmt1
                      −/−
                    
                    mice, which are models of human folic acid–responsive NTDs, and diabetic (
                    
                      Lepr
                      db
                    
                    ) mice to determine whether NTDs and PN have a shared etiology. From 6 wk of age, male and female mice with reduced
                    Shmt1
                    expression exhibited PN, with greater severity in females compared to males. The neuropathic progression was distinct from diabetic peripheral neuropathy (DPN) observed in
                    
                      Lepr
                      db
                    
                    mice. Excess dietary folic acid prevented PN in both
                    Shmt1
                    −/−
                    and
                    
                      Lepr
                      db/db
                    
                    mice, whereas dietary uridine caused demyelinating PN in mice independent of genotype and folate status. The transcriptome from L3-L5 dorsal root ganglia (DRG) exhibited distinct sex-specific differences in glial cell gene expression when comparing
                    
                      Shmt1
                      +/+
                    
                    and
                    
                      Shmt1
                      −/−
                    
                    mice. DRG sensory neurons exhibited changes in the expression of solute carriers and ion channels involved in nociception, neurotransmission, and structural support. We conclude that reduced thymidylate synthesis causes folic acid–responsive NTDs and PN in mice and that diabetes sensitizes mice to folic acid–responsive PN. Diabetes induces a special nutritional requirement for high intake of folic acid to prevent PN.",crossref,False,,
Exploring the interplay between protein conformational changes and phosphorylation in a pancreatic cancer cell and stellate cell coculture system,https://www.pnas.org/doi/abs/10.1073/pnas.2511839122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-02 08:00:00 UTC,2026-01-02 08:00:00+00:00,10.1073/pnas.2511839122,"A global exploration of the complex interplay between protein conformational changes and phosphorylation events in cell–cell interactions is crucial for understanding the dynamic nature of protein modifications. This understanding is essential for developing novel targeted therapies for pancreatic cancer, particularly in the context of interactions between pancreatic cancer cells (PCCs) and pancreatic stellate cells (PSCs). However, protein conformational changes that occur during PCCs–PSCs interactions remain poorly studied, and the relationship between these changes and phosphorylation is not well understood. Here, we present a comprehensive mass spectrometry–based study investigating the interplay between protein conformational alterations and phosphorylation in a coculture system of pancreatic ductal adenocarcinoma cells (PANC-1) and PSCs. Our results demonstrate that 435 proteins exhibiting conformational changes were detected during the coculture of PANC-1 with PSCs, primarily involving proteins associated with the tricarboxylic acid (TCA) cycle, glycolysis/gluconeogenesis, and carbon metabolism. Our findings also highlight a potential association between phosphorylation and protein conformational changes. Moreover, we identified five potential conformational targets, including ACLY, ACO1, ACO2, IDH1, and OGDH, which may provide valuable insights into the molecular pathways underlying gemcitabine resistance in pancreatic cancer. Overall, these results offer insights into protein conformational changes and their potential link to phosphorylation in the context of cancer-stromal cell interactions, paving the way for structure-based, targeted therapeutic strategies for pancreatic cancer treatment.",crossref,False,,
Janus Mn single atoms for triggering efficient photothermal catalytic CO2 methanation through spin polarization effect,https://www.science.org/doi/abs/10.1126/sciadv.adz7504?af=R,AAAS: Science Advances: Table of Contents,2026-01-02 08:00:00 UTC,2026-01-02 08:00:00+00:00,10.1126/sciadv.adz7504,"Photothermal catalysis, using sunlight as single energy source, is an ideal pattern for CO
                    2
                    reduction. Herein, Mn single atoms (SAs) are constructed on the surface of NNSO, which induces spin polarization effect, thus promoting directional transfer of photothermal electrons, and improving electron density of Mn sites and adsorption ability of CO
                    2
                    . Meanwhile, Mn SAs act as new active sites enhancing the adsorption of intermediate
                    *
                    CO, thus suppressing CO production, lowering energy barriers of hydrogenation, and changing the reaction path. In addition, the hydrogen overflow energy barriers decrease under the effect of spin polarization, promoting the rapid transfer of active H from Ni atoms to Mn SAs. As a result, the rate of CO
                    2
                    methanation is 195.7 millimoles per gram per hour with near-unity selectivity, and the catalytic activity of 1.0%Mn/NNSO increases by approximately 140 times compared with NNSO. To our knowledge, this is the first study that uses the spin polarization effect to achieve efficient photothermal CO
                    2
                    methanation.",crossref,False,,
Monolayer nanocrystalline graphene synthesized from pyrolyzing a Langmuir monolayer of a polyaromatic hydrocarbon,https://www.science.org/doi/abs/10.1126/sciadv.adv1856?af=R,AAAS: Science Advances: Table of Contents,2026-01-02 08:00:00 UTC,2026-01-02 08:00:00+00:00,10.1126/sciadv.adv1856,"Bulk carbon materials can be synthesized through the modulation of precursor structures, stacking mode, and the optimization of pyrolysis conditions. The structure of two-dimensional (2D) carbon materials, however, is mainly driven by the pyrolysis temperature, pressure, and organic gas flow rates. Here, we report the synthesis of a centimeter-sized nanocrystalline graphene monolayer from pyrolyzing a Langmuir monolayer of a hexa(terpyridine)hexaphenylbenzene polyaromatic hydrocarbon (PAH) yielding a 2D carbon material with a thickness of 0.36 ± 0.07 nm. By designing the amphiphilic PAHs and reducing intermolecular π-π stacking interactions, a monolayer of horizontally aligned PAH was obtained at the water-air interface. During the pyrolysis, the monolayer served as a molecularly thin solid carbon source, leading to the controlled preparation of an electrically insulating nanocrystalline graphene monolayer. Our work proposes a 2D carbon material formed from the initial assembly of PAH monolayer at the water-air interface and subsequent pyrolysis and offers a modular strategy for designing nanocrystalline 2D films.",crossref,False,,
[ASAP] Caging the Chlorine Radical: Chemoselective Photocatalytic C(sp3)–H Functionalization Enabled by Terminal Cu–Cl Sites in a Metal–Organic Framework,http://dx.doi.org/10.1021/jacs.5c18222,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-01-02 13:22:29 UTC,2026-01-02 13:22:29+00:00,10.1021/jacs.5c18222,"Hydrogen atom transfer (HAT) mediated by halogen radicals represents a powerful approach for the functionalization of inert C(sp3)-H bonds. Chlorine radical (Cl•), for example, is capable of generating carbon-centered radicals by abstracting strong C-H bonds (H-Cl bond dissociation energy = 103 kcal/mol). However, the chemoselectivity of these transformations typically suffers due to the high reactivity of Cl•. Herein, we disclose a novel strategy employing a metal-organic framework (MOF) to tame Cl• and effect the selective alkylation of C(sp3)-H bonds. Under light irradiation, MIT20-LiCl─an anionic Cu(II) MOF containing terminal Cu-Cl sites─undergoes ligand-to-metal charge transfer (LMCT) to generate a Cl•-like species that acts as an HAT mediator. MIT20-LiCl is a superior C(sp3)-H alkylation catalyst compared to soluble CuCl2 and allows for the chemoselective alkylation of alcohols without overoxidation. We further demonstrate that this protocol can be used to facilitate C(sp3)-H alkylation of ethers, amines, alcohols, and benzylic sites with broad functional group tolerance. Mechanistic experiments and density functional theory (DFT) calculations support that the framework effectively attenuates the reactivity of Cl• generated within its pores. Further, the heterogeneous MOF catalyst can be easily recycled and used in consecutive reactions without a loss in yield, making it a promising platform for sustainable C(sp3)-H functionalization.",pubmed,False,,
[ASAP] Operando HERFD-XAS of Bimetallic Perovskite Thin Film Interfaces,http://dx.doi.org/10.1021/jacs.5c14062,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-01-02 13:51:25 UTC,2026-01-02 13:51:25+00:00,10.1021/jacs.5c14062,"We investigated the valence dynamics of thin films during the electrocatalytic oxygen evolution reaction using operando high-energy-resolution fluorescence-detected (HERFD) X-ray absorption spectroscopy (XAS) in a 0.1 M KOH solution under an applied potential. We show that it is possible to measure the 10 unit cell (∼4 nm) bimetallic perovskite oxide La2CoMnO6 thin film grown on Pt-covered SiNx membranes. Operando Co and Mn K-edge HERFD XAS spectra on the active surface species were recorded from the backside of the SiNx membrane. The HERFD XAS Co K-edge spectra reveal a (partial) increase in the oxidation state from Co2+ in ex situ conditions to mainly Co3+ in the solid-liquid open-circuit voltage (OCV). Voltage-dependent Co K-edge HERFD XAS white line intensities show that Co is oxidized toward the higher oxidation state, while Mn remains Mn4+. Interestingly, the Co and Mn main edge shifts with the average valence change of 0.20; the valence of Mn is constant, implying that the valence of Co increases by 0.40. The OCV spectra were reversible when switching off the potentials. These observations clearly identify element-specific valence dynamics in the intrinsic oxygen evolution reaction.",pubmed,False,,
[ASAP] Mapping the Undirected Borylation of C(sp3)–H Bonds in Strained Rings,http://dx.doi.org/10.1021/jacs.5c18839,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-01-02 13:54:45 UTC,2026-01-02 13:54:45+00:00,10.1021/jacs.5c18839,"Aliphatic small saturated carbocycles and azacycles are increasingly used as bioisosteres and structural cores in medicinally active compounds due to the beneficial pharmacological and physicochemical properties they can impart. Therefore, a need exists to modify these motifs and to install groups that enable their incorporation into organic structures; these goals can be accomplished by introducing functional groups at the position of the C-H bonds on the rings. However, functionalization of secondary C-H bonds in strained rings, such as cyclopropanes and cyclobutanes, confronts several challenges, including the greater strength of these bonds than those in unstrained rings. Although catalytic, undirected borylation has been reported to functionalize the C-H bonds of selected strained rings, the examples of such reactions in earlier studies are limited in scope, principally involving rings with a small number and size of substituents. We report the borylation of fused, spirocyclic, and polysubstituted cyclopropanes, cyclobutanes, azetidines, and β-lactams with high diastereoselectivity with the most recent generation of catalysts for the borylation of alkyl C-H bonds. Important for the formation of more complex structures, reactions occur, unlike reactions of larger rings, with steric hindrance on adjacent carbon atoms. The stoichiometry of the diboron reagent, the s-character of the C-H bond, and the disposition of substituents influence reactivity and product distribution in ways charted by our results. With these advances, the borylation of C-H bonds becomes a viable approach for the modification and incorporation of these ring systems into pharmaceutically active structures.",pubmed,False,,
[ASAP] Highly Acidic Second Coordination Spheres Promote In Situ Formation of Iron Phlorins Exhibiting Fast and Selective CO2 Reduction,http://dx.doi.org/10.1021/jacs.5c16378,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-01-02 14:48:34 UTC,2026-01-02 14:48:34+00:00,10.1021/jacs.5c16378,"Protic functional groups in the secondary coordination sphere (SCS) can lower reaction barriers for reductive electrocatalytic transformations by directing proton transfer from an exogenous acid to a bound substrate. In a recent report with iron tetraphenylporphyrin (Fe-TPP) catalysts bearing SCS amides, we found that pairing a more acidic SCS with a more acidic exogenous phenol acid provides the fastest kinetics for CO2 reduction to CO. Expanding on this precedent, we report a new series of Fe-TPP catalysts bearing highly acidic SCS thioamides (pKas of 17.5 ± 0.1 to 18.7 ± 0.1 in MeCN) and describe their catalytic activity in the presence of exogenous benzoic acid. Despite the uncommonly acidic conditions, we observe the selective 2e-/2H+ reduction of CO2 to CO with minimal competitive H2 evolution or porphyrin decomposition. Decreases in SCS pKa continue to provide significant rate enhancements, and the catalyst bearing the most acidic thioamide displays kinetics (log(kcat) = 8.65 ± 0.09) that are comparable to those of the leading molecular systems. Cyclic voltammetry, UV-visible spectroelectrochemistry, kinetic analysis, and density functional theory show that the highly acidic SCS thioamide groups change catalyst speciation by promoting in situ protonation of the reduced iron porphyrin to form an iron phlorin. This iron phlorin is reduced to form a highly active and selective catalyst for CO2 reduction that operates at more positive potentials compared with traditional Fe-TPP catalysts. This work therefore reveals a new role for the SCS in promoting beneficial changes to catalyst speciation and motivates further investigation of reduced metalloporphyrinoids.",pubmed,False,,
[ASAP] Using Mechanochemistry to Activate Poly(vinyl chloride) as a Mechanotunable Brønsted-Acid-Releasing Reagent for Organic Synthesis,http://dx.doi.org/10.1021/jacs.5c20376,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-01-02 15:21:51 UTC,2026-01-02 15:21:51+00:00,10.1021/jacs.5c20376,"Mechanical force has the potential to activate thermodynamically and chemically stable molecules, enabling unique reactions to proceed with lower activation energies compared to those of conventional thermal activation pathways. However, the practical utility of such force-driven transformations in synthetic chemistry remains to be demonstrated. In this study, we developed a mechanochemical strategy for the facile activation of poly(vinyl chloride) (PVC), a stable plastic material, as a convenient and practical hydrochloric acid (HCl)-releasing reagent. Although HCl can be generated from PVC via thermal decomposition processes, elevated temperatures (>250 °C) are required, which restrict their practical applications in chemical synthesis. In contrast, our mechanochemical approach leverages the mechanical energy generated via ball milling to induce the homolytic cleavage of the polymer chains, producing HCl under mild conditions. Preliminary calculations support that our proposed force-induced mechanoradical-related mechanism generates HCl with lower activation energies than thermal activation. Inspired by this finding, we demonstrate the applicability of PVC as a mechanotunable Brønsted-acid-releasing reagent to facilitate direct SN1-type substitution reactions of allylic and benzylic alcohols with electron-rich (hetero)aromatics, amines, and alcohols as nucleophiles under mild, solvent-free, and moisture-tolerant mechanochemical conditions. Moreover, these reactions proceeded efficiently using PVC-based plastic waste, such as PVC tubing. Beyond the immediate utility of this protocol, this work can be expected to inspire the development of mechanochemical approaches to activate stable, abundant commodity plastic materials for their valorization as chemical reagents in the synthesis of high-value molecules.",pubmed,False,,
[ASAP] Sustainable and Efficient Bicarbonate Electrolysis via Enhanced CO2 and Cation Availability on a Gas–Water Dual-Permeable Electrode,http://dx.doi.org/10.1021/jacs.5c20900,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-01-02 20:08:44 UTC,2026-01-02 20:08:44+00:00,10.1021/jacs.5c20900,"The electrochemical conversion of cost-effective bicarbonates into industrially relevant chemicals offers a sustainable, low-carbon-footprint alternative to feedstock production using renewable electricity. However, its performance is limited by low CO2 concentrations at catalyst surfaces and harsh acidic conditions that promote the hydrogen evolution reaction and catalyst degradation. In this study, we developed a robust ionomer-inorganic nanoparticle (NP) composite coating (5-15 μm Nafion-SiC NPs), positioned between the catalyst and bipolar membrane, enabling efficient dual-permeability of gaseous CO2 and liquid electrolyte to promote bicarbonate electrolysis over extended operation. Specifically, the Nafion perfluorocarbon chains on the assembled Nafion-SiC NPs interconnect to form a continuous aerophilic network that facilitates CO2 diffusion. Simultaneously, the interparticle voids between NPs provide hydrophilic pathways that permit efficient electrolyte transport. This prepared stratified electrode increases local CO2 concentration to 75% saturation and enriches K+ availability at electrocatalyst surfaces at cathodic potentials during bicarbonate electrolysis. Experiments validate a high CO2 permeance of ∼0.008 cm3 cm-2 s-1 cmHg-1 and a low ionic resistance of ∼0.85 Ω cm2 for the composite coating under wet conditions. Crucially, the electrically insulating Nafion-SiC NPs resist electric-field-induced K+ penetration to ensure long-term hydrophobicity and stable gas transport. This system achieved sustained bicarbonate-to-CO electrolysis over 1100 h with an 84-88% Faradaic efficiency and a 35.8% energy efficiency at 100 mA cm-2. Extending this gas-liquid dual-permeable coating strategy to Bi- and Sn-based electrodes enhanced bicarbonate-to-formate electroreduction, highlighting the generalizability of this gas-liquid dual-permeable design for advancing heterogeneous electrolysis at triple-phase interfaces.",pubmed,False,,
A carbon-negative solar fuel production method with enhanced solar contribution and superior CO2 reduction capacity: Experimental and system investigation,https://www.sciencedirect.com/science/article/pii/S0306261925020677?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-01-03 00:00:00 UTC,2026-01-03 00:00:00+00:00,,,,False,,
MOF‐Derived High‐Entropy Biphasic Sulfides for Zn‐I2‐S Synergistic Batteries with Machine‐Learning‐Assisted Prediction and In Situ Synchrotron Spectroscopy,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202523371?af=R,Wiley: Advanced Materials: Table of Contents,2026-01-03 06:15:02 UTC,2026-01-03 06:15:02+00:00,10.1002/adma.202523371,"ABSTRACT
                  
                    The practical application of aqueous zinc batteries remains constrained by the intrinsic limitations of monocomponent systems, such as the shuttle effect in Zn‐I
                    2
                    batteries and the sluggish kinetics in Zn─S batteries. To overcome these limitations, we developed a Zn‐S‐I
                    2
                    synergistic battery that synergistically exploits the complementary advantages of dual redox couples. A bifunctional high‐entropy sulfide (HES) catalyst anchored on N‐doped carbon nanosheets was engineered via a surfactant‐assisted metal‐organic framework (MOF) derivatization route. The entropy‐stabilized HES forms a unique wurtzite/zincblende biphasic structure, creating abundant grain boundaries and synergistic active sites. Electrochemical studies demonstrate that the synergistic battery exhibits outstanding electrochemical performance and cycling stability. Machine learning (ML) models were established to predict electrochemical behavior under various operating conditions. Operando synchrotron‐based spectroscopy combined with theoretical calculations revealed that the biphasic HES synergistically catalyzes multi‐step conversion reactions, simultaneously lowering energy barriers and suppressing shuttle effects. This work offers new insights into high‐entropy electrocatalysts for complex multi‐step energy storage reactions.",crossref,False,,
Gas–Proton Microenvironment Modulation for Enhanced CO2‐to‐Formate Electroreduction,https://onlinelibrary.wiley.com/doi/10.1002/anie.202516163?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-01-03 06:15:46 UTC,2026-01-03 06:15:46+00:00,10.1002/anie.202516163,"Abstract
                  
                    Precise control of interfacial water structure is essential for suppressing side reactions and enabling selective CO
                    2
                    electroreduction at industrial current densities. Here, we synthesize a series of bismuth‐based catalysts with spatially encoded superhydrophilic–superhydrophobic nanodomains by partially embedding polyvinylidene fluoride (PVDF) into Bi nanoparticles. This strategy creates interfacial polarity patterns that stabilize *OCHO intermediates while suppressing hydrogen and CO evolution. Compared to the PVDF‐free control, the optimized Bi–PVDF catalyst exhibits significantly enhanced formate partial current density, Faradaic efficiency (FE), and long‐term stability. It achieves &gt; 90% FE at −200 mA cm
                    −2
                    for 50 h and maintains high selectivity up to −700 mA cm
                    −2
                    . Operando spectroscopy and multiscale simulations reveal that the dual‐wettability interface modulates local hydration and charge distribution, promoting selective intermediate formation while kinetically suppressing side pathways. By addressing the longstanding challenge of coupled gas–proton transport, this work offers a mechanism‐driven and scalable strategy to construct interfacial microenvironments for high‐rate, selective CO
                    2
                    electroreduction.",crossref,False,,
High‐Throughput Theoretical Screening of Single‐Atom Catalysts for Electrochemical Urea Synthesis,https://onlinelibrary.wiley.com/doi/10.1002/anie.202516299?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-01-03 06:15:46 UTC,2026-01-03 06:15:46+00:00,10.1002/anie.202516299,"Abstract
                  
                    Electrochemical urea synthesis offers a promising approach for sustainable nitrogen and carbon utilization, yet its progress is hindered by the unclear reaction mechanism and the lack of effective catalyst design principles. Here, we conduct a high‐throughput screening of over 40 MN
                    4
                    C‐type single‐atom catalysts (SACs) to identify promising candidates for electrochemical urea synthesis. This strategy improves screening efficiency by 94.8% compared to conventional methods. Our analysis demonstrates that Ti─, V─, Nb─, Mo─, and Hf–N
                    4
                    C catalysts concurrently fulfill the essential criteria, including thermodynamic stability, favorable adsorption of small molecules, suppression of competing reactions, and low energy barriers for both hydrogenation and C–N coupling. Mechanistic investigations reveal two distinct C–N coupling pathways and demonstrate that hydrogenation of *N species is a prerequisite for subsequent coupling. Notably, we reveal a linear correlation between the limiting potentials of NO
                    3
                    −
                    reduction and overall urea synthesis, establishing *NO
                    3
                     → *N activity as a reliable descriptor for catalyst screening. This work provides mechanistic insights and a predictive framework for the rational design of efficient urea electrocatalysts.",crossref,False,,
Modulation of Photoluminescence and Solar Thermal Energy Storage in Norbornadiene–Quadricyclane Dimers,https://onlinelibrary.wiley.com/doi/10.1002/anie.202516629?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-01-03 06:15:46 UTC,2026-01-03 06:15:46+00:00,10.1002/anie.202516629,"Abstract
                  
                    The norbornadiene/quadricyclane (NBD/QC) photoswitch pair is a promising system for molecular solar thermal (MOST) energy storage. Multichromophoric systems with two or more photoswitches can offer red‐shifted absorption, higher energy densities, and additional functionality. Here, a series of
                    ortho
                    ‐ and
                    para
                    ‐substituted NBD dimers bearing methoxy, hexoxy (for solubility), and cyano groups were synthesised and evaluated for their MOST properties. Compared to monomers, the dimers display red‐shifted absorption and improved solar spectrum match, with onsets between 448–488 nm, owing to their donor–acceptor design and extended conjugation. A key finding is the tunable relationship between molecular structure, photoluminescence and photoisomerisation:
                    para
                    ‐dimers exhibit efficient fluorescence, whilst
                    ortho
                    ‐dimers are superior photoswitches with quantum yields of isomerisation, Φ
                    i
                    , up to 63%. Solvent choice further modulates behaviour; Φ
                    i
                    is higher in acetonitrile, whereas fluorescence is more efficient in toluene. This interplay allows tailoring for specific functions. The best‐performing photoswitches were studied in a liquid‐chip device, achieving a record solar conversion efficiency of 2.9%. Catalytic back‐conversion using cobalt phthalocyanine on carbon and macroscopic heat release experiments at 0.1 M yielded a 5.78 °C temperature increase. This first experimental macroscopic heat release of a dimeric system provides important insights into design challenges and opportunities for advancing multichromophoric systems towards MOST applications.",crossref,False,,
Overcoming Hydrophobicity with Water Enables Ultrafast Hydrolysis of Waste Polyethylene Terephthalate at Very Mild Conditions,https://onlinelibrary.wiley.com/doi/10.1002/anie.202514136?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-01-03 06:15:46 UTC,2026-01-03 06:15:46+00:00,10.1002/anie.202514136,"Abstract
                  Chemical recycling of plastics holds great promise but remains constrained by sustainability issues, with polyethylene terephthalate (PET) epitomizing this challenge. Herein, we introduce a conceptually novel strategy that overcomes PET's intrinsic hydrophobicity by physically re‐engineering the polymer's microstructure to enable ultrafast alkaline hydrolysis under exceptionally mild conditions. We leverage the ability of propylene carbonate (PC)—an inexpensive, commercial, green solvent—to selectively dissolve PET, to thermally induce phase separation, and subsequently act as a carrier for water insertion between polymer chains. Upon complete PC replacement, the water uptake exceeds twice the polymer mass, preventing chain re‐compaction and establishing an interfacial environment that facilitates hydroxyl ion diffusion to ester bonds and depolymerization with minimal alkali consumption. As a result, water‐swollen PET fully depolymerizes (96% TPA yield) at atmospheric pressure within 5 min at 90  or under 2 h at room temperature, vastly outperforming conventional hydrolysis methods. The process achieves a 20‐fold reduction in energy footprint versus direct PET hydrolysis. It performs robustly on challenging, real‐world feedstocks—including textiles and mixed plastic waste—enabling selective depolymerization unaffected by PET crystallinity. A techno‐economic analysis (TEA) confirms energy efficiency and strong economic feasibility, demonstrating overall competitiveness with existing engineered technologies. Beyond PET, the physical mechanism underpinning the strategy offers a scalable and sustainable platform for recycling a wide range of condensation polymers.",crossref,False,,
A Cathepsin B‐Triggered CO‐Releasing Molecule with a Non‐Toxic Metal Core for Targeted Tumor Delivery,https://onlinelibrary.wiley.com/doi/10.1002/anie.202513808?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-01-03 06:15:46 UTC,2026-01-03 06:15:46+00:00,10.1002/anie.202513808,"Abstract
                  
                    Carbon monoxide (CO) has shown therapeutic potential across various diseases, including cancer. To enable controlled delivery, many CO‐releasing molecules (CORMs) have been developed. However, their clinical translation has been limited due to concerns about stability, potential toxicity, and insufficient targeting ability. In this study, we report the synthesis and characterization of an enzyme‐triggered CO‐releasing molecule (
                    ET‐CORM
                    ) that can be site‐specifically conjugated to antibodies. This novel
                    ET‐CORM
                    is built on a biocompatible iron core, and releases CO upon cleavage by the cancer‐associated protease cathepsin B (CatB). The incorporation of a bioorthogonal handle into
                    ET‐CORM
                    enabled its efficient and site‐specific conjugation to the clinically used antibody trastuzumab via the interchain disulfide bonds. The resulting ET‐CORM–antibody conjugate (
                    ET‐CORM‐Ab
                    ) exhibited an average drug‐to‐antibody ratio (DAR) of 6.8, corresponding to approximately 20 CO molecules per conjugate. This construct allowed for selective intracellular CO delivery to HER2‐overexpressing and CatB‐expressing cells in vitro. This study represents a metal‐based CORM–antibody conjugate activated by a tumor‐associated enzymatic trigger, opening new avenues for investigating CO‐mediated effects and advancing CO‐based cancer therapies to the clinics.",crossref,False,,
